มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img
มหาวิทยาลัยมหิดล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศาลายา,30000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,30000,mahidol.png
มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,องครักษ์,25000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25000,srinakharinwirot.png
มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,หาดใหญ่,18000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,18000,psu.png
มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,Bachelor of Engineering Program in Artificial Intelligence Engineering,ภาษาไทย ปกติ,หาดใหญ่,28000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,28000,psu.png
มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),Bachelor of Engineering Programe in Digital Engineering (International Program),นานาชาติ,ภูเก็ต,48000,วิทยาลัยการคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,48000,psu.png
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Computer Engineering (International Program) 4-year undergraduate program ( international ),นานาชาติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,30000,thonburi.png
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program,ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,70000,thonburi.png
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,25000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25000,north_bangkok.png
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,ลาดกระบัง,25000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25000,ladkrabang.png
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),B.Eng. Computer Engineering (International Program),นานาชาติ,ลาดกระบัง,90000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,90000,ladkrabang.png
