มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน   32,700  ต่อภาคเรียน",วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยแม่ฟ้าหลวง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ),Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าธรรมเนียมการศึกษา 28,000 ต่อภาคการศึกษา หรือ 224,000 บาท ตลอดหลักสูตร",เทคโนโลยดิจิทัลประยุกต์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"112,000",วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยนครพนม,วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยพะเยา,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,https://admission.up.ac.th/uploads/admission/media/file/66ed2582eb5b7LIYYa.pdf,คณะเทคโนโลยีสารสนเทศและการสื่อสาร,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยกาฬสินธุ์,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng.(Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยรามคำแหง,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering  (B. Eng. (Computer Engineering)),ภาษาไทย ปกติ,วิทยาเขตหลักหัวหมาก,"เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท (เหมาจ่ายรายเทอม ลงทะเบียนได้ไม่เกิน 22 - 24 หน่วยกิต) หลักสูตร 4 ปี",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยรามคำแหง,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (International Program) (B. Eng. (Computer Engineering)),นานาชาติ,วิทยาเขตหลัก,"ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)",คณะวิศวกรรมศาสคร์,วิศวกรรมคอมพิวเตอร์
สถาบันเทคโนโลยีจิตรลดา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 31,500 ต่อภาคเรียน หรือ 252,000 บาท ตลอดหลักสูตร",คณะเทคโนโลยีดิจิทัล,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยราชภัฏพิบูลสงคราม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา",คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์
